Year,Country,CO2_emissions,gdp
1990,Germany,12.02660923,1.77167E+12
1991,Germany,11.65485055,1.86895E+12
1992,Germany,11.07379165,2.13157E+12
1993,Germany,10.93025817,2.07132E+12
1994,Germany,10.75537534,2.20507E+12
1995,Germany,10.70862967,2.58579E+12
1996,Germany,11.04000324,2.49724E+12
1997,Germany,10.63756246,2.21199E+12
1998,Germany,10.54575967,2.23899E+12
1999,Germany,10.15331952,2.19495E+12
2000,Germany,10.09931602,1.94798E+12
2001,Germany,10.29363415,1.94579E+12
2002,Germany,10.10298472,2.07848E+12
2003,Germany,10.13870882,2.50164E+12
2004,Germany,9.950402591,2.81435E+12
2005,Germany,9.729424378,2.84686E+12
2006,Germany,9.886441614,2.9947E+12
2007,Germany,9.527586652,3.42558E+12
2008,Germany,9.617453045,3.74526E+12
2009,Germany,8.97178632,3.41126E+12
2010,Germany,9.453399722,3.39967E+12
2011,Germany,9.299036295,3.74931E+12
2012,Germany,9.451317705,3.52714E+12
2013,Germany,9.62420735,3.7338E+12
2014,Germany,9.088506897,3.88909E+12
2015,Germany,9.087290909,3.35759E+12
2016,Germany,9.073006686,3.46985E+12
2017,Germany,8.858293847,3.69085E+12
2018,Germany,8.536196091,3.97444E+12
2019,Germany,7.911621016,3.88823E+12
2020,Germany,7.588,3.88967E+12
2021,Germany,8.018,4.25993E+12
1990,Italy,7.145018163,1.18122E+12
1991,Italy,7.119107279,1.24622E+12
1992,Italy,7.082581542,1.32016E+12
1993,Italy,6.984291424,1.06496E+12
1994,Italy,6.901240953,1.09922E+12
1995,Italy,7.32562417,1.17466E+12
1996,Italy,7.248469279,1.31243E+12
1997,Italy,7.303872086,1.24188E+12
1998,Italy,7.492433586,1.27005E+12
1999,Italy,7.607835904,1.25245E+12
2000,Italy,7.662168039,1.14668E+12
2001,Italy,7.662604587,1.16802E+12
2002,Italy,7.77212967,1.27677E+12
2003,Italy,8.064459636,1.57762E+12
2004,Italy,8.18925745,1.80654E+12
2005,Italy,8.173783064,1.85822E+12
2006,Italy,8.025766415,1.94955E+12
2007,Italy,7.860767964,2.2131E+12
2008,Italy,7.564248487,2.40866E+12
2009,Italy,6.71897022,2.19993E+12
2010,Italy,6.836836177,2.1361E+12
2011,Italy,6.680594198,2.29499E+12
2012,Italy,6.327708948,2.08696E+12
2013,Italy,5.751905744,2.14192E+12
