Year,CO2_emissions
1990,1.914542564
1991,2.000538765
1992,2.07574444
1993,2.244840637
1994,2.32219225
1995,2.563478593
1996,2.521875898
1997,2.547901551
1998,2.605836859
1999,2.517419885
2000,2.650412428
2001,2.774761175
2002,2.975679521
2003,3.427437253
2004,3.954107458
2005,4.46770003
2006,4.910276132
2007,5.306366015
2008,5.435075622
2009,5.798318754
2010,6.335417691
2011,6.901344429
2012,7.046182675
2013,7.324147115
2014,7.294235506
2015,7.146449357
2016,7.115385005
2017,7.230985031
2018,7.487331894
2019,7.605936961
2020,7.896
2021,8.275
