Year,CO2_emissions
1990,5.530352721
1991,5.699785887
1992,5.934211892
1993,5.540472762
1994,5.776362895
1995,6.05602903
1996,5.76863509
1997,6.206095959
1998,6.369906713
1999,6.890852536
2000,7.230107062
2001,7.216328687
2002,7.548593756
2003,7.553396348
2004,7.817921309
2005,8.029202013
2006,7.698212561
2007,7.842252141
2008,7.056387715
2009,6.200856827
2010,5.866642426
2011,5.87043563
2012,5.756946794
2013,5.208274629
2014,5.184067004
2015,5.51794436
2016,5.314294581
2017,5.654254455
2018,5.492571471
2019,5.09135092
2020,3.975
2021,4.383
