Year,CO2_emissions
1990,6.137338876
1991,6.50043973
1992,6.263217621
1993,5.911735165
1994,5.805056788
1995,5.915659298
1996,6.156649014
1997,5.987499338
1998,6.331489203
1999,6.196241531
2000,6.124614634
2001,6.138928383
2002,6.001983055
2003,6.050888623
2004,6.023792418
2005,6.024207509
2006,5.839386178
2007,5.667293697
2008,5.560603924
2009,5.311780898
2010,5.347945928
2011,5.128759961
2012,5.153951699
2013,5.129519032
2014,4.616052854
2015,4.677807228
2016,4.70474678
2017,4.749542598
2018,4.572030089
2019,4.459547465
2020,4.084
2021,4.498
