Year,CO2_emissions
1990,7.145018163
1991,7.119107279
1992,7.082581542
1993,6.984291424
1994,6.901240953
1995,7.32562417
1996,7.248469279
1997,7.303872086
1998,7.492433586
1999,7.607835904
2000,7.662168039
2001,7.662604587
2002,7.77212967
2003,8.064459636
2004,8.18925745
2005,8.173783064
2006,8.025766415
2007,7.860767964
2008,7.564248487
2009,6.71897022
2010,6.836836177
2011,6.680594198
2012,6.327708948
2013,5.751905744
2014,5.38747546
2015,5.563259469
2016,5.498165145
2017,5.437857589
2018,5.37687093
2019,5.311315442
2020,4.407
2021,4.907
