Year,CO2_emissions
1990,9.924081247
1991,10.2529576
1992,10.09275057
1993,10.34311274
1994,10.22308107
1995,10.61581838
1996,11.1792938
1997,10.65362429
1998,10.61487117
1999,10.21054272
2000,10.178636
2001,10.41493988
2002,10.36786976
2003,10.49965052
2004,10.57132609
2005,10.28991121
2006,10.01462043
2007,10.04474769
2008,10.04646055
2009,9.708786357
2010,10.29828126
2011,9.511130441
2012,9.398409929
2013,9.348128895
2014,8.881703067
2015,9.292250246
2016,9.309281866
2017,9.092131413
2018,8.783850008
2019,8.437074627
2020,8.024
2021,8.176
