Year,CO2_emissions
1990,9.189263028
1991,9.193594772
1992,8.950395696
1993,8.94455034
1994,8.814909778
1995,8.80943173
1996,9.199373349
1997,8.916766668
1998,8.235419879
1999,7.992184018
2000,7.73080499
2001,7.676987465
2002,7.515492328
2003,7.793047036
2004,7.905511788
2005,7.895886085
2006,8.234912499
2007,8.220760788
2008,8.087182909
2009,7.791547049
2010,8.247028077
2011,8.159838047
2012,7.969647665
2013,7.841704806
2014,7.516889481
2015,7.610089275
2016,7.895688724
2017,8.238615375
2018,8.213615723
2019,7.773641839
2020,6.622
2021,7.341
