Year,CO2_emissions
1990,19.40734628
1991,19.00340342
1992,19.02286035
1993,19.2183334
1994,19.25621185
1995,19.21690864
1996,19.5753803
1997,20.33085525
1998,20.26630029
1999,20.10113245
2000,20.46980666
2001,20.17153061
2002,19.445549
2003,19.50649945
2004,19.5976305
2005,19.46926248
2006,18.94591375
2007,19.04291352
2008,18.27849449
2009,16.80869862
2010,17.43173849
2011,16.60421817
2012,15.78978264
2013,16.11118443
2014,16.04092103
2015,15.56003496
2016,15.1498852
2017,14.82326087
2018,15.22254765
2019,14.67341061
2020,14.349
2021,15.193
