Year,CO2_emissions
1990,6.210508815
1991,5.923351736
1992,5.718766339
1993,5.796295112
1994,5.827403737
1995,6.00894592
1996,6.137486825
1997,6.382459835
1998,6.466215794
1999,6.004786273
2000,6.080754972
2001,6.786829156
2002,6.951520829
2003,7.340130634
2004,7.825797731
2005,7.704446648
2006,7.673803462
2007,7.941820366
2008,8.439298675
2009,7.899039649
2010,8.213008523
2011,7.803853203
2012,8.030477632
2013,8.110092581
2014,8.184426594
2015,7.602658848
2016,7.534967744
2017,7.691396451
2018,7.575039606
2019,7.568640115
2020,7.452
2021,7.421
